numero de sequencia,tempo inicial,tempo final,tamanho
158,1742170865811249500,1742170865813105700,8
159,1742170865813105700,1742170865814274700,8
160,1742170865814796500,1742170865815335000,8
161,1742170865816382600,1742170865816923700,8
162,1742170865817973000,1742170865819036200,8
163,1742170865819933000,1742170865821660600,8
164,1742170865822583500,1742170865823694100,8
165,1742170865824214200,1742170865825278900,8
166,1742170865826364100,1742170865827531000,8
167,1742170865828053000,1742170865829117500,8
168,1742170865829634800,1742170865830167400,8
169,1742170865831263000,1742170865831804700,8
170,1742170865832855100,1742170865833500800,8
171,1742170865834513500,1742170865834513500,8
172,1742170865836143900,1742170865838154600,8
173,1742170865838154600,1742170865840469000,8
174,1742170865840067700,1742170865840469000,8
175,1742170865841474900,1742170865841474900,8
176,1742170865843158200,1742170865843702500,8
177,1742170865844766600,1742170865844766600,8
178,1742170865845971400,1742170865845971400,8
179,1742170865847707100,1742170865847707100,8
180,1742170865849259300,1742170865849259300,8
181,1742170865851031400,1742170865851031400,8
182,1742170865853463600,1742170865854557600,8
183,1742170865855078900,1742170865856091100,8
184,1742170865858124100,1742170865859630700,8
185,1742170865859630700,1742170865860401900,8
186,1742170865861638900,1742170865861638900,8
187,1742170865863480600,1742170865863480600,8
188,1742170865865223900,1742170865865223900,8
189,1742170865866985700,1742170865866985700,8
190,1742170865868708200,1742170865870794200,8
191,1742170865870257100,1742170865871377800,8
192,1742170865871883100,1742170865871883100,8
193,1742170865873591700,1742170865873591700,8
194,1742170865875305200,1742170865875305200,8
195,1742170865877016800,1742170865877016800,8
196,1742170865878772100,1742170865879309300,8
197,1742170865880325000,1742170865880325000,8
198,1742170865882046700,1742170865882046700,8
199,1742170865883768500,1742170865883768500,8
200,1742170865885507500,1742170865887359400,8
201,1742170865887359400,1742170865888369000,8
202,1742170865889371000,1742170865889371000,8
203,1742170865891142100,1742170865891142100,8
204,1742170865892845700,1742170865892845700,8
205,1742170865894559500,1742170865894559500,8
206,1742170865896082200,1742170865896518300,8
207,1742170865897526200,1742170865897526200,8
208,1742170865899045900,1742170865899045900,8
209,1742170865900795600,1742170865903542600,8
210,1742170865902782400,1742170865905309000,8
211,1742170865904799800,1742170865907355300,8
212,1742170865906327200,1742170865907355300,8
213,1742170865909016300,1742170865909016300,8
214,1742170865910743900,1742170865910743900,8
215,1742170865912524300,1742170865912828200,8
216,1742170865913833400,1742170865913833400,8
217,1742170865915497200,1742170865915497200,8
218,1742170865917179300,1742170865918193200,8
219,1742170865919198300,1742170865921693300,8
220,1742170865921192400,1742170865921693300,8
221,1742170865922701900,1742170865922701900,8
222,1742170865924381800,1742170865924381800,8
223,1742170865926163400,1742170865926475600,8
224,1742170865927484800,1742170865927484800,8
225,1742170865929016000,1742170865929016000,8
226,1742170865930724600,1742170865930724600,8
227,1742170865932456800,1742170865932456800,8
228,1742170865934246300,1742170865934246300,8
229,1742170865936098900,1742170865937129800,8
230,1742170865938732400,1742170865939245300,8
231,1742170865940259400,1742170865940259400,8
232,1742170865941934300,1742170865941934300,8
233,1742170865943715900,1742170865944046800,8
234,1742170865945059500,1742170865945059500,8
235,1742170865946863800,1742170865947290000,8
236,1742170865948303800,1742170865949314900,8
237,1742170865949829200,1742170865952063400,8
238,1742170865951361200,1742170865954138900,8
239,1742170865953607900,1742170865956170100,8
240,1742170865955156300,1742170865956170100,8
241,1742170865957791400,1742170865957791400,8
242,1742170865959313900,1742170865959313900,8
243,1742170865961032200,1742170865961032200,8
244,1742170865962795200,1742170865962795200,8
245,1742170865964552100,1742170865964552100,8
246,1742170865966127200,1742170865966127200,8
247,1742170865967810800,1742170865970825000,8
248,1742170865969882100,1742170865970825000,8
249,1742170865971835900,1742170865972172500,8
250,1742170865973177600,1742170865973177600,8
251,1742170865974881600,1742170865974881600,8
252,1742170865976435900,1742170865976435900,8
253,1742170865978184700,1742170865978184700,8
254,1742170865979708400,1742170865979708400,8
255,1742170865981475800,1742170865981475800,8
256,1742170865983193900,1742170865983193900,8
257,1742170865984929800,1742170865987714900,8
258,1742170865986699200,1742170865987714900,8
259,1742170865989222700,1742170865989222700,8
260,1742170865990902800,1742170865990902800,8
261,1742170865992619900,1742170865992619900,8
262,1742170865994351700,1742170865994351700,8
263,1742170865996308800,1742170865996801900,8
264,1742170865997811000,1742170865997811000,8
265,1742170865999344000,1742170865999896800,8
266,1742170866000905100,1742170866003454600,8
267,1742170866002424000,1742170866005819500,8
268,1742170866005033500,1742170866005819500,8
269,1742170866006829400,1742170866006829400,8
270,1742170866008587100,1742170866009141200,8
271,1742170866010148100,1742170866010148100,8
272,1742170866011844700,1742170866012282300,8
273,1742170866013287800,1742170866013287800,8
274,1742170866015000700,1742170866015000700,8
275,1742170866016770100,1742170866016770100,8
276,1742170866018518600,1742170866020998900,8
277,1742170866020081100,1742170866022011700,8
278,1742170866022011700,1742170866022398700,8
279,1742170866023415200,1742170866023415200,8
280,1742170866025117400,1742170866025117400,8
281,1742170866026823700,1742170866026823700,8
282,1742170866028587200,1742170866029179400,8
283,1742170866030185800,1742170866030185800,8
284,1742170866032018700,1742170866032018700,8
285,1742170866033803200,1742170866033803200,8
286,1742170866035544600,1742170866037243000,8
287,1742170866037243000,1742170866038254800,8
288,1742170866039263500,1742170866039263500,8
289,1742170866041238200,1742170866041797100,8
290,1742170866042803600,1742170866043814200,8
291,1742170866044322300,1742170866044322300,8
292,1742170866046375700,1742170866048170700,8
293,1742170866048170700,1742170866049180600,8
294,1742170866049689700,1742170866049689700,8
295,1742170866051481100,1742170866053887500,8
296,1742170866053281500,1742170866054897400,8
297,1742170866054897400,1742170866054897400,8
298,1742170866056414500,1742170866056414500,8
299,1742170866058085000,1742170866058085000,8
300,1742170866059608600,1742170866059608600,8
301,1742170866061314100,1742170866061314100,8
302,1742170866063056200,1742170866063056200,8
303,1742170866064799900,1742170866064799900,8
304,1742170866066341500,1742170866066341500,8
305,1742170866068043400,1742170866071058200,8
306,1742170866070144400,1742170866072068000,8
307,1742170866072068000,1742170866072068000,8
308,1742170866073802000,1742170866073802000,8
309,1742170866075545300,1742170866075545300,8
310,1742170866077280500,1742170866077280500,8
311,1742170866079580300,1742170866079580300,8
312,1742170866081312700,1742170866081312700,8
313,1742170866083050600,1742170866083050600,8
314,1742170866084815000,1742170866087834200,8
315,1742170866086807600,1742170866089937400,8
316,1742170866089330800,1742170866091348100,8
317,1742170866090952000,1742170866091348100,8
318,1742170866092360300,1742170866094376100,8
319,1742170866093815000,1742170866095387200,8
320,1742170866095387200,1742170866096024000,8
321,1742170866097032100,1742170866097032100,8
322,1742170866098560000,1742170866099101600,8
323,1742170866100108100,1742170866100108100,8
324,1742170866101806100,1742170866104337300,8
325,1742170866103425500,1742170866104337300,8
326,1742170866105348100,1742170866105714900,8
327,1742170866106719500,1742170866106719500,8
328,1742170866108412900,1742170866108987700,8
329,1742170866109997200,1742170866109997200,8
330,1742170866111751100,1742170866111751100,8
331,1742170866113518000,1742170866113518000,8
332,1742170866115246800,1742170866115246800,8
333,1742170866116970800,1742170866116970800,8
334,1742170866118732400,1742170866120908800,8
335,1742170866120908800,1742170866121256800,8
336,1742170866122263600,1742170866122263600,8
337,1742170866124050400,1742170866124050400,8
338,1742170866125768900,1742170866125768900,8
339,1742170866127564200,1742170866127564200,8
340,1742170866129131500,1742170866129131500,8
341,1742170866130874200,1742170866130874200,8
342,1742170866132671000,1742170866134369900,8
343,1742170866134369900,1742170866136953500,8
344,1742170866135933000,1742170866139011100,8
345,1742170866137984700,1742170866140698200,8
346,1742170866140123500,1742170866141710500,8
347,1742170866141710500,1742170866143738500,8
348,1742170866143738500,1742170866144414000,8
349,1742170866145421300,1742170866145421300,8
350,1742170866147150900,1742170866147150900,8
351,1742170866148970200,1742170866148970200,8
352,1742170866150713900,1742170866152737000,8
353,1742170866152045900,1742170866154438200,8
354,1742170866153760100,1742170866154770100,8
355,1742170866155770000,1742170866155770000,8
356,1742170866157462300,1742170866157462300,8
357,1742170866159019200,1742170866159019200,8
358,1742170866160749200,1742170866160749200,8
359,1742170866162529500,1742170866162529500,8
360,1742170866164266200,1742170866164266200,8
361,1742170866166153300,1742170866166153300,8
362,1742170866167885000,1742170866170710800,8
363,1742170866169930700,1742170866172036700,8
364,1742170866171718600,1742170866172036700,8
365,1742170866173041400,1742170866173041400,8
366,1742170866174727700,1742170866174727700,8
367,1742170866176282700,1742170866176282700,8
368,1742170866178044300,1742170866178044300,8
369,1742170866179634800,1742170866179634800,8
370,1742170866181344300,1742170866182354100,8
371,1742170866183352700,1742170866183859600,8
372,1742170866184868900,1742170866187345500,8
373,1742170866187345500,1742170866190506900,8
